Journal title	ISSN	eISSN	Publisher details	Open Access Status
Revista Latinoamericana de Filosofia	0325-0725	1852-7353	Centro de Investigaciones Filosoficas	Unpaywall Open Access
Revista Latinoamericana de Herpetologia	-	2594-2158	Sociedad Herpetologica Mexicana	Unpaywall Open Access
Revista Latinoamericana de Hipertension	1856-4550	-	Sociedad Latinoamericana de Hipertension	
Revista Latinoamericana de Investigacion en Matematica Educativa	1665-2436	-	Latinoamericano de Matematica Educativa	
Revista Latinoamericana de Metalurgia y Materiales	0255-6952	-	Universidad Simon Bolivar	
Revista Latinoamericana de Psicologia	0120-0534	-	Konrad Lorenz Editores	
Revista Latinoamericana de Psicopatologia Fundamental	1415-4714	1984-0381	Associacao Universitaria de Pesquisa em Psicopatologia Fundamental	Unpaywall Open Access
Revista Latinoamericana de Quimica	0370-5943	-	Laboratorios Mixim S.A. de C.V.	
Revista Letral	-	1989-3302	Department of Spanish Literature of the University of Granada	Unpaywall Open Access
Revista Luna Azul	0122-5391	1909-2474	Universidad de Caldas	
Revista Lusofona de Educacao	1645-7250	1646-401X	University of Lusophone Humanities and Technology	
Revista Mad	-	0718-0527	Universidad de Chile	Unpaywall Open Access
Revista Matematica Complutense	1139-1138	1988-2807	Springer-Verlag Italia s.r.l.	
Revista Matematica Iberoamericana	0213-2230	2235-0616	Universidad Autonoma de Madrid	Unpaywall Open Access
Revista Materia	1517-7076	-	Universidade Federal do Rio de Janeiro - UFRJ	Unpaywall Open Access
Revista Medica Clinica Las Condes	0716-8640	2531-0186	Elsevier Espana S.L.U	Unpaywall Open Access
Revista Medica de Chile	0034-9887	0717-6163	Sociedad Medica de Santiago	
Revista Medica de Rosario	0327-5019	-	Circulo Medico de Rosario	
Revista Medica Electronica	-	1684-1824	Editorial Ciencias Medicas	
Revista Medica Herediana	1018-130X	1729-214X	Universidad Peruana Cayetano Heredia, Facultad de Medicina Alberto Hurtado	Unpaywall Open Access
Revista Mediterranea de Comunicacion	2530-0024	1989-872X	Universidad de Alicante	Unpaywall Open Access
Revista Mexicana de Analisis de la Conducta	0185-4534	2007-0802	Sociedad Mexicana de Analisis de la Conducta	
Revista Mexicana de Anestesiologia	0185-1012	-	Colegio Mexicano de Anestesiologia A.C.	
Revista Mexicana de Angiologia	0377-4740	-	Sociedad Mexicana de Angiologia y Cirugia Vascular	Unpaywall Open Access
Revista Mexicana de Astronomia y Astrofisica	0185-1101	-	Universidad Nacional Autonoma de Mexico	
Revista Mexicana de Biodiversidad	1870-5081	1870-509X	Universidad Nacional Autonoma de Mexico	Unpaywall Open Access
Revista Mexicana de Ciencias Agricolas	2007-0934	2007-9230	National Institute of Forestry, Agricultural and Livestock Research	
Revista Mexicana de Ciencias Forestales	2007-1132	2448-6671	Instituto Nacional de Investigaciones Forestales, Agricolas y Pecuarias	Unpaywall Open Access
Revista Mexicana de Ciencias Geologicas	1026-8774	-	Universidad Nacional Autonoma de Mexico	Unpaywall Open Access
Revista Mexicana De Ciencias Pecuarias	2007-1124	2448-6698	INIFAP-CENID Parasitologia Veterinaria	Unpaywall Open Access
Revista Mexicana de Economia y Finanzas Nueva Epoca	1665-5346	2448-6795	Instituto Mexicano de Ejecutivos de Finanzas	Unpaywall Open Access
Revista Mexicana de Enfermeria Cardiologica	1405-0315	-	Sociedad Mexicana de Cardiologia	
Revista Mexicana de Fisica	0035-001X	-	Sociedad Mexicana de Fisica	
Revista Mexicana de Fisica E	1870-3542	-	Sociedad Mexicana de Fisica	
Revista Mexicana de Ingeniera Quimica	1665-2738	2395-8472	Universidad Autonoma Metropolitana	
Revista Mexicana de Ingenieria Biomedica	0188-9532	2395-9126	Sociedad Mexicana de Ingenieria Biomedica	
Revista Mexicana de Investigacion Educativa	1405-6666	-	Consejo Mexicano de Investigacion	
Revista Mexicana de Oftalmologia	0187-4519	-	Permanyer Publications	Unpaywall Open Access
Revista Mexicana de Pediatria	0035-0052	-	Sociedad Mexicana de Pediatria	
Revista Mexicana de Psicologia	0185-6073	-	Sociedad Mexicana de Psicologia	
Revista Mexicana de Sociologia	0188-2503	2594-0651	Universidad Nacional Autonoma de Mexico	
Revista Mexicana de Trastornos Alimentarios	-	2007-1523	Elsevier B.V.	
Revista Mexicana de Urologia	0185-4542	2007-4085	Sociedad Mexicana de Urologia. Colegio de Profesionistas A.C.	
Revista Musical Chilena	0716-2790	0717-6252	Universidad de Chile	Unpaywall Open Access
Revista MVZ Cordoba	0122-0268	1909-0544	Biblioteca Universidad de Cordoba	Unpaywall Open Access
Revista Notas Historicas y Geograficas	0717-036X	0719-4404	Universidad de Playa Ancha -Departamento De Historia	Unpaywall Open Access
Revista Numismatica Hecate	-	2386-8643	Ediciones Hecate	
Revista Oficial del Poder Judicial	1997-6682	2663-9130	Poder Judicial del Peru	Unpaywall Open Access
Revista Opiniao Juridica	1806-0420	2447-6641	Centro Universitario Christus	Unpaywall Open Access
Revista Panamericana de Salud Publica/Pan American Journal of Public Health	1020-4989	1680-5348	Pan American Health Organization	Unpaywall Open Access
Revista Paulista de Pediatria	0103-0582	1984-0462	Sao Paulo Pediatric Society	Unpaywall Open Access
Revista Pedagogia Universitaria y Didactica del Derecho	-	0719-5885	Universidad de Chile	Unpaywall Open Access
Revista Peruana de Biologia	1561-0837	1727-9933	Asociacion de Biologos de la Universidad Nacional Mayor de San Marcos	Unpaywall Open Access
Revista Peruana de Ginecologia y Obstetricia	2304-5124	2304-5132	Peruvian Society of Obstetrics and Gynecology	
Revista Peruana de Medicina Experimental y Salud Publica	1726-4634	1726-4642	Instituto Nacional de Salud	Unpaywall Open Access
Revista Pesquisa em Fisioterapia	-	2238-2704	BAHIANA - School of Medicine and Public Health	Unpaywall Open Access
Revista Pesquisa Qualitativa	-	2525-8222	Sociedade de Estudos e Pesquisa Qualitativos	
Revista Politecnica	1390-0129	2477-8990	Escuela Politecnica Nacional	Unpaywall Open Access
Revista Portuguesa de Cardiologia	0870-2551	2174-2030	Sociedade Portuguesa de Cardiologia	Unpaywall Open Access
Revista Portuguesa de Educacao	0871-9187	2183-0452	Center for Research in Education, Institute of Education of the University of Minho	Unpaywall Open Access
Revista Portuguesa de Enfermagem de Reabilitacao	-	2184-3023	Associacao Portuguesa dos Enfermeiros de Reabilitacao	Unpaywall Open Access
Revista Portuguesa de Estomatologia, Medicina Dentaria e Cirurgia Maxilofacial	1646-2890	1647-6700	Sociedade Portguesa de Estomatologia e Medicina Dentaria	Unpaywall Open Access
Revista Portuguesa de Estudos Regionais	1645-586X	-	Associacao Portuguesa para o Desenvolvimento Regional (APDR)	
Revista Portuguesa de Filosofia	0870-5283	2183-461X	Aletheia - Associacao Cientifica e Cultural	
Revista Portuguesa de Historia	0870-4147	2183-3796	Universidade de Coimbra, Instituto de Historia Economica e social	Unpaywall Open Access
Revista Portuguesa de Imunoalergologia	0871-9721	-	Sociedade Portuguesa de Alergologia e Imunologia Clinica	
Revista Proyecto, Progreso, Arquitectura	2171-6897	2173-1616	University of Sevilla, School of Architecture	Unpaywall Open Access
Revista Republicana	1909-4450	2256-5027	Corporacion Universitaria Republicana	
Revista Romana de Cardiologie	1220-658X	2734-6382	Sciendo	Unpaywall Open Access
Revista Romana de Drept International	1584-1898	2559-3846	Romanian Association for International Law and International Relations	
Revista Romana de Materiale/ Romanian Journal of Materials	1583-3186	2457-502X	Procema SA	
Revista Signos	0035-0451	0718-0934	Ediciones Universitarias de Valparaiso	
Revista Tradumatica	-	1578-7559	Universitat Autonoma de Barcelona	Unpaywall Open Access
Revista Transilvania	0255-0539	3061-2217	Complexul National Muzeal Astra Sibiu	Unpaywall Open Access
Revista U.D.C.A Actualidad and Divulgacion Cientifica	0123-4226	2619-2551	Universidad de Ciencias Aplicadas y Ambientales U.D.C.A	Unpaywall Open Access
Revista UNISCI	-	2386-9453	UNISCI	Unpaywall Open Access
Revista Venezolana de Gerencia	1315-9984	-	Universidad del Zulia	Unpaywall Open Access
Revista Venezolana de Oncologia	0798-0582	-	Sociedad Venezolana de Oncologia	
Revista Veterinaria	1668-4834	1669-6840	Universidad Nacional de Nordeste (UNNE)	
Revista Virtual de Quimica	1984-6835	-	Sociedade Brasileira de Quimica	
Revmatologiia (Bulgaria)	1310-0505	-	Meditsiinski Unversitet-Sofia	
Revolutionary Russia	0954-6545	1743-7873	Routledge	
REVSTAT-Statistical Journal	1645-6726	2183-0371	National Statistical Institute	
Revue Archeologique	0035-0737	-	Presses Universitaires de France	
Revue Archeologique de l'Est	1266-7706	1760-7264	Universite de Dijon	
Revue Archeologique de Picardie	0752-5656	2104-3914	Societe des antiquaires de Picardie	
Revue Belge d'Archeologie et d'Histoire de l'Art	0035-077X	-	The Royal Academy of Archaeology of Belgium	
Revue Benedictine	0035-0893	-	Brepols Publishers	
Revue Biblique	0035-0907	-	J. Gabalda et Cie	
Revue d Etudes Augustiniennes et Patristiques	1768-9260	-	Brepols Publishers	
Revue d'Assyriologie et d'Archeologie Orientale	0373-6032	-	Presses Universitaires de France	
Revue de Chirurgie Orthopedique et Traumatologique	1877-0517	-	Elsevier Masson s.r.l.	
Revue de Geographie Alpine	0035-1121	-	Armand Colin Editeur	Unpaywall Open Access
Revue de l'Art	0035-1326	1953-812X	Editions Ophrys	
Revue de L'Energie	0303-240X	-	Editions Techniques et Economiques	
Revue de l'Entrepreneuriat	1766-2524	1630-7542	Cairn France	
Revue de l'Infirmiere	1293-8505	-	Elsevier Masson s.r.l.	
Revue de l'OFCE	1265-9576	1777-5647	Presses de Sciences Po	
Revue de Medecine Interne	0248-8663	1768-3122	Elsevier Masson s.r.l.	
Revue de Medecine Legale	1878-6529	1878-6537	Elsevier Masson s.r.l.	
Revue de Metaphysique et de Morale	0035-1571	-	Presses Universitaires de France	
Revue de Micropaleontologie	0035-1598	-	Elsevier Masson s.r.l.	
Revue de Musicologie	0035-1601	1958-5632	Societe Francaise de Musicologie	
Revue de Paleobiologie	0253-6730	-	Museum National d'Histoire Naturelle	
Revue de Philosophie Ancienne	0771-5420	-	Editions OUSIA	
Revue de Philosophie Economique	1376-0971	2118-4852	Vrin	
Revue de Psychotherapie Psychanalytique de Groupe	0297-1194	1776-2863	Editions Eres	
Revue de Qumran	0035-1725	-	J. Gabalda et Cie	
Revue de synthese / Centre international de synthese	0035-1776	-	Brill Academic Publishers	
Revue d'Economie du Developpement	1245-4060	1782-1517	Boeck Universite	
Revue d'Economie Industrielle	0154-3229	1773-0198	Superior De Boeck	
Revue d'Economie Politique	0373-2630	-	Editions Dalloz Sirey	
Revue d'Egyptologie	0035-1849	1783-1733	Peeters Publishers	
Revue d'Elevage et de Medecine Veterinaire des Pays Tropicaux (France)	0035-1865	1951-6711	CIRAD	Unpaywall Open Access
Revue des Composites et des Materiaux Avances	1169-7954	1958-5799	International Information and Engineering Technology Association	
Revue des Etudes Anciennes	0035-2004	-	Universite de Bordeaux	
Revue des Etudes Juives	0484-8616	1783-175X	Peeters Publishers	
Revue des Etudes Slaves	0080-2557	2117-718X	Imprimerie Nationale	
Revue des Etudes Sud-Est Europeennes	0035-2063	-	Editions de l'Academie Republique Populaire	
Revue des Langues Romanes	0223-3711	-	Universite de Montpellier III (Paul Valery), Centre d'Etudes Occitanes	
Revue des Maladies Respiratoires	0761-8425	1776-2588	Elsevier Masson s.r.l.	
Revue des Maladies Respiratoires Actualites	1877-1203	1877-122X	Elsevier Masson s.r.l.	
Revue des Mondes Musulmans et de la Mediterranee	0997-1327	2105-2271	Edisud Publishers	Unpaywall Open Access
Revue des Musees de France	1962-4271	-	Editions de la Reunion des Musees Nationaux	
Revue des Sciences Humaines	0035-2195	-	Sciences Humaines	
Revue des Sciences Philosophiques et Theologiques	0035-2209	-	Librairie Philosophique J. Vrin	
Revue d'Ethique et de Theologie Morale	1266-0078	2118-4518	Editions du Cerf	
Revue d'Etudes Comparatives Est-Ouest	0338-0599	-	Presses Universitaires de France	
Revue d'Histoire de la Pensee Economique	2496-4646	2495-8670	Classiques Garnier	
Revue d'Histoire de l'Amerique Francaise	0035-2357	-	Institut d histoire de l Amerique francaise	
Revue d'Histoire des Mathematiques	1262-022X	1777-568X	Societe Mathematique de France	
Revue d'Histoire des Sciences	0151-4105	1969-6582	Cairn France	
Revue d'Histoire des Sciences Humaines	1622-468X	1963-1022	Editions Of The Sorbonne	
Revue d'Histoire des Textes	0373-6075	-	Brepols Publishers	
Revue d'Histoire du Theatre	1291-2530	-	Societe d'Histoire du Theatre	
Revue d'Histoire du XIXe Siecle	1265-1354	1777-5329	Societe d'histoire de la revolution de 1848 et des revolutions du XIXe siecle	
Revue d'Histoire Ecclesiastique	0035-2381	-	Universite Catholique de Louvain, Bureau de la Revue d'Histoire Ecclesiastique	
Revue d'Histoire Moderne et Contemporaine	0048-8003	1776-3045	Editions Belin et Herscher	
Revue du Nord	0035-2624	-	Universite de Lille III (Charles de Gaulle)	
Revue du Podologue	1766-7313	-	Elsevier Masson s.r.l.	
Revue du Praticien	0035-2640	2101-017X	Global Media Sante	
Revue du Rhumatisme (Edition Francaise)	1169-8330	1768-3130	Elsevier Masson s.r.l.	
Revue du Rhumatisme Monographies	1878-6227	2212-0920	Elsevier Masson s.r.l.	
Revue Economique	0035-2764	1950-6694	Presses de Sciences Po	
Revue Europeenne d' Economie et Management des Services	2497-0107	2555-0284	Editions Classiques Garnier	
Revue Europeenne de Psychologie Appliquee	1162-9088	-	Elsevier Masson s.r.l.	
Revue Europeenne des Migrations Internationales	0765-0752	1777-5418	University of Poitiers	
Revue Forestiere Francaise	0035-2829	-	Ecole Nationale du Genie Rural des Eaux et des Forets	Unpaywall Open Access
Revue Francaise d'Administration Publique	0152-7401	-	Ecole Nationale d'Administration	
Revue Francaise d'Allergologie	1877-0320	1877-0312	Elsevier Masson s.r.l.	
Revue Francaise de Gestion	0338-4551	-	Lavoisier	
Revue Francaise de Pedagogie	0556-7807	-	Institut National de Recherche Pedagogique	
Revue Francaise de Photogrammetrie et de Teledetection	1768-9791	-	Soc. Francaise de Photogrammetrie et de Teledetection	Unpaywall Open Access
Revue Francaise de Psychanalyse	0035-2942	-	Presses Universitaires de France	
Revue Francaise de Science Politique	0035-2950	1950-6686	Presses de Sciences Po	
Revue Francaise de Sociologie	0035-2969	-	Editions Ophrys	
Revue Francaise d'Ethique Appliquee	2494-5757	2427-0687	ERES	
Revue Francaise d'Etudes Americaines	0397-7870	-	Association Francaise d'Etudes Americaines	
Revue Historique	0035-3264	-	Presses Universitaires de France	
Revue Internationale de Droit Economique	1010-8831	1782-1525	De Boeck Supérieur	
Revue Internationale de Droit Penal	0223-5404	1951-6312	Maklu Publishers	
Revue Internationale de Philosophie	0048-8143	-	Universa Press	
Revue Internationale de Politique Comparee	1370-0731	1782-1533	De Boeck Supérieur	
Revue Internationale et Strategique	1287-1672	-	Institut de Relations Internationales et Strategiques	
Revue Italienne d'Etudes Francaises	-	2240-7456	Seminario di Filologia Francese	Unpaywall Open Access
Revue Juridique de l'USEK	1026-3268	-	Universite Saint-Esprit de Kaslik	
Revue Medicale de Bruxelles	0035-3639	-	Association des Medecins anciens etudiats de l'Universite libre de Bruxelles (A.M.U.B.)	
Revue Medicale de Liege	0370-629X	2566-1566	Revue Medicale de Liege	
Revue Medicale Suisse	1660-9379	-	Editions Medecine et Hygiene	
Revue Neurologique	0035-3787	-	Elsevier Masson s.r.l.	
Revue Numismatique	0484-8942	-	Societe Francaise de Numismatique	
Revue Philosophique de la France et de La Etranger	0035-3833	-	Presses Universitaires de France	
Revue Philosophique de Louvain	0035-3841	1783-1768	Peeters Publishers	
Revue Romane	0035-3906	-	John Benjamins Publishing Company	
Revue Roumaine de Chimie	0035-3930	-	Editions de l'Academie Republique Populaire	
Revue Roumaine de Linguistique	0035-3957	-	Editura Academiei Romane	
REVUE ROUMAINE DE MATHEMATIQUES PURES ET APPLIQUEES	0035-3965	-	Editura Academiei Romane	
Revue Roumaine des Sciences Techniques Serie Electrotechnique et Energetique	0035-4066	-	Publishing House of the Romanian Academy	
Revue Suisse de Zoologie	0035-418X	-	Museum d'Histoire Naturelle de Geneve	
Revue Theologique de Louvain	0080-2654	1783-8401	Universite Catholique de Louvain	
Revue Thomiste	0035-4295	-	P. Lethielleux	
Revue Veterinaire Clinique	2214-5672	2214-5680	Elsevier Masson s.r.l.	
Revus	1581-7652	1855-7112	Revus Klub	
Rheedea	0971-2313	-	Indian Association for Angiosperm Taxonomy	
Rheologica Acta	0035-4511	1435-1528	Springer Nature	
Rhetoric and Public Affairs	1094-8392	-	Michigan State University	
Rhetoric of Health and Medicine	2573-5055	2573-5063	University of Florida Press	
Rhetoric Review	0735-0198	1532-7981	Routledge	
Rhetoric Society Quarterly	0277-3945	1930-322X	Taylor and Francis Ltd.	
Rhetoric, Politics and Society	2947-5147	2947-5155	Palgrave Macmillan	
Rhetorica - A Journal of the History of Rhetoric	0734-8584	1533-8541	Johns Hopkins University Press	
Rheumatic Disease Clinics of North America	0889-857X	1558-3163	W.B. Saunders	
Rheumatology	1462-0324	1462-0332	Oxford University Press	
Rheumatology Advances in Practice	-	2514-1775	Oxford University Press	Unpaywall Open Access
Rheumatology and Autoimmunity	2767-1410	2767-1429	John Wiley & Sons Inc.	Unpaywall Open Access
Rheumatology and Immunology Research	-	2719-4523	Walter de Gruyter GmbH	
Rheumatology and Therapy	2198-6576	2198-6584	Adis International Ltd	Unpaywall Open Access
Rheumatology International	0172-8172	1437-160X	Springer Science and Business Media Deutschland GmbH	
Rhinology	0300-0729	-	University Hospital Utrecht	
Rhizomata	2196-5102	2196-5110	Walter de Gruyter GmbH	
Rhizosphere	-	2452-2198	Elsevier B.V.	
Rhodora	0035-4902	-	Allen Press Inc.	
RIAI - Revista Iberoamericana de Automatica e Informatica Industrial	1697-7912	1697-7920	Universidad Politecnica de Valencia	Unpaywall Open Access
Ribarstvo, Croatian Journal of Fisheries	1330-061X	1848-0586	Sciendo	Unpaywall Open Access
Rice	1939-8425	1939-8433	Springer	Unpaywall Open Access
Rice Science	1672-6308	-	Elsevier B.V.	Unpaywall Open Access
Ricerca e Pratica	1120-379X	2038-2480	Il Pensiero Scientifico Editore s.r.l.	
Ricerca Folklorica	0391-9099	-	Grafo edizioni	
Ricerche di Matematica	0035-5038	1827-3491	Springer-Verlag Italia s.r.l.	
Ricerche di Pedagogia e Didattica	-	1970-2221	University of Bologna	
Ricerche di Psicologia	0391-6081	1972-5620	FrancoAngeli	
Ricerche di Storia dell Arte	0392-7202	-	Carocci Editore	
Ricerche di Storia Politica	1120-9526	-	Il Mulino publishing house	
Ricerche di Storia Sociale e Religiosa	0392-1581	1824-4599	Edizioni di Storia e Letteratura	
Ricerche Ellenistiche	-	2724-1890	Fabrizio Serra Editore	
RiCognizioni	-	2384-8987	Universita degli Studi di Torino, Dipartimento di Lingue e Letterature Straniere e Culture Moderne	
RICYDE: Revista Internacional de Ciencias del Deporte	1885-3137	-	Revista Internacional de Ciencias del Deporte	Unpaywall Open Access
RIDE - Review Journal for Digital Editions and Resources	-	2363-4952	Institut fur Dokumentologie und Editorik	
RIED-Revista Iberoamericana de Educacion a Distancia	1138-2783	1390-3306	Ibero-American Association for Distance Higher Education (AIESAD)	Unpaywall Open Access
RIG Kulturhistorisk Tidskrift	0035-5267	-	Foreningen for Svensk Kulturhistoria	
Rigakuryoho Kagaku	1341-1667	-	Society of Physical Therapy Science (Rigaku Ryoho Kagakugakkai)	
RIHA Journal	2190-3328	-	International Association of Research Institutes in the History of Art (RIHA)	
Rijksmuseum Bulletin	1877-8127	-	Rijksmuseum Publications Department	Unpaywall Open Access
RILCE. Revista de Filologia Hispanica	0213-2370	2174-0917	Servicio de Publicaciones de la Universidad de Navarra	
RILEM Bookseries	2211-0844	2211-0852	Springer Science + Business Media	
RILEM State-of-the-Art Reports	2213-204X	2213-2031	Springer Science + Business Media	
RILEM Technical Letters	-	2518-0231	RILEM Publications S.A.R.L.	Unpaywall Open Access
RiMe Rivista dell'Istituto di Storia dell'Europa Mediterranea	-	2035-794X	Consiglio Nazionale delle Ricerche	
Rinascimento	0080-3073	2037-6138	Casa Editrice Leo S. Olschki	
Ringing and Migration	0307-8698	2159-8355	Taylor and Francis Ltd.	
Rinsan Shikenj Oha/Journal of the Hokkaido Forest Products Research Institute	0913-140X	-	Hoikkaido Forest Products Research Institute	
Risk Analysis	0272-4332	1539-6924	Wiley-Blackwell Publishing Ltd	
Risk and Decision Analysis	1569-7371	1875-9173	IOS Press	
Risk Governance and Control: Financial Markets and Institutions	2077-429X	2077-4303	Virtus Interpress	
Risk Management	1460-3799	1743-4637	Palgrave Macmillan Ltd.	
Risk Management and Healthcare Policy	1179-1594	-	Dove Medical Press Ltd.	Unpaywall Open Access
Risk Management and Insurance Review	1098-1616	1540-6296	Wiley-Blackwell Publishing Ltd	
Risk, Hazards and Crisis in Public Policy	-	1944-4079	John Wiley & Sons Inc.	
Risks	-	2227-9091	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao	1646-9895	-	Associacao Iberica de Sistemas e Tecnologias de Informacao	Unpaywall Open Access
Rita Revista Indexada de Textos Academicos	2340-9711	2386-7027	Cancha Editorial Spa	Unpaywall Open Access
River	-	2750-4867	John Wiley and Sons Inc	Unpaywall Open Access
River Research and Applications	1535-1459	1535-1467	John Wiley and Sons Ltd	
Ri-Vista	-	1724-6768	Firenze University Press	Unpaywall Open Access
Rivista degli Studi Orientali	0392-4866	1724-1863	Fabrizio Serra Editore Srl	
Rivista del Diritto della Navigazione	0035-5895	-	CASA EDITRICE CACUCCI	
Rivista di Archeologia	0392-0895	2284-4546	Giorgio Bretschneider	
Rivista di Cultura Classica e Medioevale	0035-6085	1724-062X	Fabrizio Serra Editore Srl	
Rivista di Estetica	0035-6212	-	Rosenberg & Sellier	Unpaywall Open Access
Rivista di Filosofia	0035-6239	2612-1042	Societa Editrice Il Mulino	
Rivista di Filosofia del Diritto	2280-482X	-	Societa Editrice Il Mulino	
Rivista di Filosofia Neo-Scolastica	0035-6247	1827-7926	Vita e Pensiero	
Rivista di Letteratura Storiografica Italiana	2532-9626	2611-2787	Fabrizio Serra Editore Srl	
Rivista di Letterature Moderne e Comparate	0391-2108	-	Pacini Editore Srl	
Rivista di Matematica della Universita di Parma	0035-6298	2284-2578	Universita degli Studi di Parma	
Rivista di Psichiatria	0035-6484	2038-2502	Il Pensiero Scientifico Editore s.r.l.	
Rivista di Psicoanalisi	0035-6492	1974-4722	Raffaello Cortina Editore	
Rivista di Psicolinguistica Applicata	1592-1328	1724-0646	Fabrizio Serra Editore Srl	
Rivista di storia del cristianesimo	1827-7365	-	Editrice Morcelliana Srl	
Rivista di Storia della Chiesa in Italia	0035-6557	1827-790X	Vita e Pensiero	
Rivista di Storia della Filosofia	0393-2516	1972-5558	FrancoAngeli Edizioni	
Rivista di Storia e Letteratura Religiosa	0035-6573	2035-7583	Casa Editrice Leo S. Olschki	
Rivista di Storia Economica	0393-3415	2612-1026	Societa Editrice Il Mulino	
Rivista di Studi sulla Sostenibilita	2239-1959	2239-7221	FrancoAngeli Edizioni	
Rivista Geografica Italiana	0035-6697	2499-748X	FrancoAngeli Edizioni	
Rivista Internazionale di Filosofia e Psicologia	2039-4667	2239-2629	Mimesis Edizioni	
Rivista Internazionale di Scienze Sociali	0035-676X	1827-7918	Vita e Pensiero	
Rivista Italiana della Medicina di Laboratorio	1825-859X	-	Springer-Verlag Italia s.r.l.	
Rivista Italiana della Saldatura	0035-6794	-	Instituto Italiano della Saldatura	
Rivista Italiana delle Sostanze Grasse	0035-6808	-	Stazione Sperimentale per le Industrie	
Rivista Italiana di Geotecnica	0557-1405	-	Patron Editore S.r.l.	
Rivista Italiana di Informatica e Diritto	-	2704-7318	Consiglio Nazionale delle Ricerche	
Rivista Italiana di Medicina dell'Adolescenza	2035-0678	-	Edizioni Scripta Manent s.n.c.	
Rivista Italiana di Medicina Legale e del Diritto in Campo Sanitario	2499-2852	2499-2860	Giuffre Francis Lefebvre SPA	
Rivista Italiana di Ornitologia	0035-6875	2385-0833	Page Press Publications	Unpaywall Open Access
Rivista Italiana di Paleontologia e Stratigrafia	0035-6883	2039-4942	Universita degli Studi di Milano	Unpaywall Open Access
Rivista Italiana di Politiche Pubbliche	1722-1137	-	Societa Editrice Il Mulino	
Rivista Italiana di Ragioneria e di Economia Aziendale	1593-9154	2281-5864	Casa Editrice Rirea	
Rivista Italiana di Scienza Politica	0048-8402	-	Cambridge University Press	
Rivista Italiana di Storia Internazionale	2611-8602	2612-0992	Societa Editrice Il Mulino	
RLA	0033-698X	-	Universidad de Concepcion	
RLC - Revue de Litterature Comparee	0035-1466	1965-0264	Klincksieck	
RMD Open	-	2056-5933	BMJ Publishing Group	Unpaywall Open Access
RMLE Online	-	1940-4476	Taylor and Francis Ltd.	
RNA	1355-8382	1469-9001	Cold Spring Harbor Laboratory Press	
RNA Biology	1547-6286	1555-8584	Taylor and Francis Ltd.	Unpaywall Open Access
RNA Technologies	2197-9731	2197-9758	Springer Science and Business Media Deutschland GmbH	
Road Materials and Pavement Design	1468-0629	2164-7402	Taylor and Francis Ltd.	
Roads and Bridges - Drogi i Mosty	1643-1618	2449-769X	Instytut Badawczy Drog i Mostow	
ROBOMECH Journal	-	2197-4225	Springer International Publishing AG	Unpaywall Open Access
Robotic Intelligence and Automation	2754-6969	2754-6977	Emerald Publishing	
Robotica	0263-5747	1469-8668	Cambridge University Press	
Robotics	-	2218-6581	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Robotics and Autonomous Systems	0921-8890	-	Elsevier B.V.	
Robotics and Computer-Integrated Manufacturing	0736-5845	-	Elsevier Ltd	
Rock Art Research	0813-0426	-	Australian Rock Art Research Association	
Rock Mechanics and Rock Engineering	0723-2632	-	Springer-Verlag Wien	
Rock Mechanics Bulletin	-	2773-2304	KeAi Communications Co.	Unpaywall Open Access
Rock Music Studies	1940-1159	1940-1167	Routledge	
Rocks and Minerals	0035-7529	1940-1191	Routledge	
Rocky Mountain Geology	1555-7332	1555-7340	University of Wyoming	
Rocky Mountain Journal of Mathematics	0035-7596	-	Rocky Mountain Mathematics Consortium	
Rocznik Muzeum Narodowego w Warszawie, Nowa Seria	0509-6936	-	National Museum in Warsaw	
Rocznik Ochrona Srodowiska	1506-218X	-	Middle Pomeranian Scientific Society	
Rocznik Orientalistyczny	0080-3545	-	The Committee of Oriental Studies of the Polish Academy of Sciences and The Publishing House ELIPSA	
Rocznik Przekladoznawczy	1896-4362	2392-1552	Nicolaus Copernicus University	Unpaywall Open Access
Rocznik Teologiczny	0239-2550	-	Christian Theological Academy in Warsaw, Faculty of Theology	
Rocznik Teologii Katolickiej	1644-8855	-	Department of Catholic Theology, University of Bialystok	
Roczniki Filozoficzne	0035-7685	2450-002X	Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego	
Roczniki Humanistyczne	0035-7707	2544-5200	Towarzystwo Naukowe KUL	
Roczniki Naukowe Zootechniki	0137-1657	-	National Research Institute of Animal Production	
Roczniki Panstwowego Zakladu Higieny / Annals of the National Institute of Hygiene	0035-7715	-	National Institute of Public Health NIH - National Research Institute	Unpaywall Open Access
Rodriguesia	0370-6583	2175-7860	Rio de Janeiro Botanical Garden	Unpaywall Open Access
Roeper Review	0278-3193	1940-865X	Taylor and Francis Ltd.	
RoFo Fortschritte auf dem Gebiet der Rontgenstrahlen und der Bildgebenden Verfahren	1438-9029	1438-9010	Georg Thieme Verlag	
Romance Notes	0035-7995	-	University of North Carolina at Chapel Hill	
Romance Philology	0035-8002	-	Brepols Publishers	
Romance Quarterly	0883-1157	-	Taylor and Francis Ltd.	
Romance Studies	0263-9904	1745-8153	Maney Publishing	
