Journal title,ISSN,eISSN,Publisher details
NEW JOURNAL OF CHEMISTRY,1144-0546,1369-9261,ROYAL SOC CHEMISTRY
NEW JOURNAL OF PHYSICS,1367-2630,1367-2630,IOP PUBLISHING LTD
NEW MEDIT,1594-5685,2611-1128,BOLOGNA UNIV PRESS
NEW MICROBIOLOGICA,1121-7138,1121-7138,EDIZIONI INT SRL
NEW PHYTOLOGIST,0028-646X,1469-8137,WILEY
NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA,1361-4568,1740-7842,TAYLOR & FRANCIS LTD
NEW SCIENTIST,0262-4079,2059-5387,NEW SCIENTIST LTD
NEWSLETTERS ON STRATIGRAPHY,0078-0421,,GEBRUDER BORNTRAEGER
NEW YORK JOURNAL OF MATHEMATICS,1076-9803,1076-9803,ELECTRONIC JOURNALS PROJECT
NEW ZEALAND ENTOMOLOGIST,0077-9962,1179-3430,TAYLOR & FRANCIS LTD
NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH,0028-8233,1175-8775,TAYLOR & FRANCIS LTD
NEW ZEALAND JOURNAL OF BOTANY,0028-825X,1175-8643,TAYLOR & FRANCIS LTD
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,0114-0671,1175-8783,TAYLOR & FRANCIS LTD
NEW ZEALAND JOURNAL OF ECOLOGY,0110-6465,1177-7788,NEW ZEALAND ECOL SOC
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,0048-0134,1179-5395,SCION
NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,0028-8306,1175-8791,TAYLOR & FRANCIS LTD
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1175-8805,TAYLOR & FRANCIS LTD
NEW ZEALAND JOURNAL OF ZOOLOGY,0301-4223,1175-8821,TAYLOR & FRANCIS LTD
NEW ZEALAND VETERINARY JOURNAL,0048-0169,1176-0710,TAYLOR & FRANCIS LTD
NEXUS NETWORK JOURNAL,1590-5896,1522-4600,KIM WILLIAMS BOOKS
NICOTINE & TOBACCO RESEARCH,1462-2203,1469-994X,OXFORD UNIV PRESS
NIGERIAN JOURNAL OF CLINICAL PRACTICE,1119-3077,2229-7731,WOLTERS KLUWER MEDKNOW PUBLICATIONS
NIHON REOROJI GAKKAISHI,0387-1533,0387-1533,"SOC RHEOLOGY, JAPAN"
NIPPON SUISAN GAKKAISHI,0021-5392,1349-998X,JAPANESE SOC FISHERIES SCIENCE
NITRIC OXIDE-BIOLOGY AND CHEMISTRY,1089-8603,1089-8611,ACADEMIC PRESS INC ELSEVIER SCIENCE
NJAS-IMPACT IN AGRICULTURAL AND LIFE SCIENCES,,2768-5241,TAYLOR & FRANCIS LTD
NMR IN BIOMEDICINE,0952-3480,1099-1492,WILEY
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,1021-9722,1420-9004,SPRINGER INT PUBL AG
NOISE CONTROL ENGINEERING JOURNAL,0736-2501,0736-2501,INST NOISE CONTROL ENGINEERING
NOISE & HEALTH,1463-1741,1998-4030,WOLTERS KLUWER MEDKNOW PUBLICATIONS
NONDESTRUCTIVE TESTING AND EVALUATION,1058-9759,1477-2671,TAYLOR & FRANCIS LTD
NONLINEAR ANALYSIS-HYBRID SYSTEMS,1751-570X,1878-7460,ELSEVIER SCI LTD
NONLINEAR ANALYSIS-MODELLING AND CONTROL,1392-5113,2335-8963,"VILNIUS UNIV, INST MATHEMATICS & INFORMATICS"
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,1468-1218,1878-5719,PERGAMON-ELSEVIER SCIENCE LTD
NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,0362-546X,1873-5215,PERGAMON-ELSEVIER SCIENCE LTD
NONLINEAR DYNAMICS,0924-090X,1573-269X,SPRINGER
NONLINEARITY,0951-7715,1361-6544,IOP PUBLISHING LTD
NONLINEAR PROCESSES IN GEOPHYSICS,1023-5809,1607-7946,COPERNICUS GESELLSCHAFT MBH
NORDIC JOURNAL OF BOTANY,0107-055X,1756-1051,WILEY
NORDIC JOURNAL OF PSYCHIATRY,0803-9488,1502-4725,TAYLOR & FRANCIS LTD
NORDIC PULP & PAPER RESEARCH JOURNAL,0283-2631,2000-0669,WALTER DE GRUYTER GMBH
NOROPSIKIYATRI ARSIVI-ARCHIVES OF NEUROPSYCHIATRY,1300-0667,1309-4866,TURKISH NEUROPSYCHIATRY ASSOC-TURK NOROPSIKIYATRI  DERNEGI
NORTH AMERICAN JOURNAL OF AQUACULTURE,1522-2055,1548-8454,WILEY
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0275-5947,1548-8675,WILEY
NORTHEASTERN NATURALIST,1092-6194,1938-5307,EAGLE HILL INST
NORTH-WESTERN JOURNAL OF ZOOLOGY,1584-9074,1842-6441,UNIV ORADEA PUBL HOUSE
NORTHWEST SCIENCE,0029-344X,2161-9859,NORTHWEST SCIENTIFIC ASSOC
NORWEGIAN JOURNAL OF GEOLOGY,2387-5844,2387-5852,GEOLOGICAL SOC NORWAY
NOTA LEPIDOPTEROLOGICA,0342-7536,2367-5365,PENSOFT PUBLISHERS
NOTARZT,0177-2309,1438-8693,GEORG THIEME VERLAG KG
NOTES AND RECORDS-THE ROYAL SOCIETY JOURNAL OF THE HISTORY OF SCIENCE,0035-9149,1743-0178,ROYAL SOC
NOTFALL & RETTUNGSMEDIZIN,1434-6222,1436-0578,SPRINGER
NOTORNIS,0029-4470,1177-7680,ORNITHOLOGICAL SOC NEW ZEALAND
NOTRE DAME JOURNAL OF FORMAL LOGIC,0029-4527,1939-0726,DUKE UNIV PRESS
NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,0255-965X,1842-4309,UNIV AGR SCI & VETERINARY MED CLUJ-NAPOCA
NOVA HEDWIGIA,0029-5035,2363-7188,GEBRUDER BORNTRAEGER
NOVON,1055-3177,1945-6174,MISSOURI BOTANICAL GARDEN
NPG ASIA MATERIALS,1884-4049,1884-4057,NATURE PORTFOLIO
NPJ 2D MATERIALS AND APPLICATIONS,,2397-7132,NATURE PORTFOLIO
NPJ BIOFILMS AND MICROBIOMES,,2055-5008,NATURE PORTFOLIO
NPJ BREAST CANCER,,2374-4677,NATURE PORTFOLIO
NPJ CLEAN WATER,,2059-7037,NATURE PORTFOLIO
NPJ CLIMATE AND ATMOSPHERIC SCIENCE,2397-3722,2397-3722,NATURE PORTFOLIO
NPJ COMPUTATIONAL MATERIALS,,2057-3960,NATURE PORTFOLIO
NPJ DIGITAL MEDICINE,2398-6352,2398-6352,NATURE PORTFOLIO
NPJ FLEXIBLE ELECTRONICS,,2397-4621,NATURE PORTFOLIO
NPJ GENOMIC MEDICINE,,2056-7944,NATURE PORTFOLIO
NPJ HERITAGE SCIENCE,,3059-3220,SPRINGER
NPJ MATERIALS DEGRADATION,,2397-2106,NATURE PORTFOLIO
NPJ MICROGRAVITY,,2373-8065,NATURE PORTFOLIO
NPJ PARKINSONS DISEASE,,2373-8057,NATURE PORTFOLIO
NPJ PRECISION ONCOLOGY,,2397-768X,NATURE PORTFOLIO
NPJ PRIMARY CARE RESPIRATORY MEDICINE,,2055-1010,NATURE PORTFOLIO
NPJ QUANTUM INFORMATION,,2056-6387,NATURE PORTFOLIO
NPJ QUANTUM MATERIALS,,2397-4648,NATURE PORTFOLIO
NPJ REGENERATIVE MEDICINE,,2057-3995,NATURE PORTFOLIO
NPJ SCIENCE OF FOOD,,2396-8370,NATURE PORTFOLIO
NPJ SCIENCE OF LEARNING,,2056-7936,NATURE PORTFOLIO
NPJ SYSTEMS BIOLOGY AND APPLICATIONS,,2056-7189,NATURE PORTFOLIO
NPJ VACCINES,,2059-0105,NATURE PORTFOLIO
NUCLEAR DATA SHEETS,0090-3752,1095-9904,ACADEMIC PRESS INC ELSEVIER SCIENCE
NUCLEAR ENGINEERING AND DESIGN,0029-5493,1872-759X,ELSEVIER SCIENCE SA
NUCLEAR ENGINEERING AND TECHNOLOGY,1738-5733,1738-5733,KOREAN NUCLEAR SOC
NUCLEAR ENGINEERING INTERNATIONAL,0029-5507,0029-5507,WILMINGTON PUBL
NUCLEAR FUSION,0029-5515,1741-4326,IOP PUBLISHING LTD
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,0168-9002,1872-9576,ELSEVIER
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,0168-583X,1872-9584,ELSEVIER
NUCLEAR MATERIALS AND ENERGY,,2352-1791,ELSEVIER
NUCLEAR MEDICINE AND BIOLOGY,0969-8051,1872-9614,ELSEVIER SCIENCE INC
NUCLEAR MEDICINE COMMUNICATIONS,0143-3636,1473-5628,LIPPINCOTT WILLIAMS & WILKINS
NUCLEAR PHYSICS A,0375-9474,1873-1554,ELSEVIER
NUCLEAR PHYSICS B,0550-3213,1873-1562,ELSEVIER
NUCLEAR SCIENCE AND ENGINEERING,0029-5639,1943-748X,TAYLOR & FRANCIS INC
NUCLEAR SCIENCE AND TECHNIQUES,1001-8042,2210-3147,SPRINGER SINGAPORE PTE LTD
NUCLEAR TECHNOLOGY,0029-5450,1943-7471,TAYLOR & FRANCIS INC
NUCLEAR TECHNOLOGY & RADIATION PROTECTION,1451-3994,1452-8185,VINCA INST NUCLEAR SCI
NUCLEIC ACIDS RESEARCH,0305-1048,1362-4962,OXFORD UNIV PRESS
NUCLEIC ACID THERAPEUTICS,2159-3337,2159-3345,"MARY ANN LIEBERT, INC"
NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,1525-7770,1532-2335,TAYLOR & FRANCIS INC
NUCLEUS,1949-1034,1949-1042,TAYLOR & FRANCIS INC
NUKLEARMEDIZIN-NUCLEAR MEDICINE,0029-5566,2567-6407,GEORG THIEME VERLAG KG
NUKLEONIKA,0029-5922,1508-5791,SCIENDO
NUMERICAL ALGORITHMS,1017-1398,1572-9265,SPRINGER
NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,0163-0563,1532-2467,TAYLOR & FRANCIS INC
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,1040-7782,1521-0634,TAYLOR & FRANCIS INC
NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,1040-7790,1521-0626,TAYLOR & FRANCIS INC
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,1070-5325,1099-1506,WILEY
NUMERICAL MATHEMATICS-THEORY METHODS AND APPLICATIONS,1004-8979,2079-7338,GLOBAL SCIENCE PRESS
NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,0749-159X,1098-2426,WILEY
NUMERISCHE MATHEMATIK,0029-599X,0945-3245,SPRINGER HEIDELBERG
NUNCIUS-JOURNAL OF THE HISTORY OF SCIENCE,0394-7394,1825-3911,BRILL
NURSE EDUCATION IN PRACTICE,1471-5953,1873-5223,ELSEVIER SCI LTD
NURSE EDUCATION TODAY,0260-6917,1532-2793,CHURCHILL LIVINGSTONE
NURSE EDUCATOR,0363-3624,1538-9855,LIPPINCOTT WILLIAMS & WILKINS
NURSING CLINICS OF NORTH AMERICA,0029-6465,1558-1357,W B SAUNDERS CO-ELSEVIER INC
NURSING ECONOMICS,0746-1739,,"JANNETTI PUBLICATIONS, INC"
NURSING ETHICS,0969-7330,1477-0989,SAGE PUBLICATIONS LTD
NURSING & HEALTH SCIENCES,1441-0745,1442-2018,WILEY
NURSING IN CRITICAL CARE,1362-1017,1478-5153,WILEY
NURSING INQUIRY,1320-7881,1440-1800,WILEY
NURSING OPEN,2054-1058,2054-1058,WILEY
NURSING OUTLOOK,0029-6554,1528-3968,ELSEVIER SCIENCE INC
NURSING PHILOSOPHY,1466-7681,1466-769X,WILEY
NURSING RESEARCH,0029-6562,1538-9847,LIPPINCOTT WILLIAMS & WILKINS
NURSING SCIENCE QUARTERLY,0894-3184,1552-7409,SAGE PUBLICATIONS INC
NUTRICION HOSPITALARIA,0212-1611,1699-5198,"ARAN EDICIONES, S L"
NUTRIENT CYCLING IN AGROECOSYSTEMS,1385-1314,1573-0867,SPRINGER
NUTRIENTS,,2072-6643,MDPI
NUTRITION,0899-9007,1873-1244,ELSEVIER SCIENCE INC
NUTRITIONAL NEUROSCIENCE,1028-415X,1476-8305,TAYLOR & FRANCIS LTD
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,0163-5581,1532-7914,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
NUTRITION BULLETIN,1471-9827,1467-3010,WILEY
NUTRITION CLINIQUE ET METABOLISME,0985-0562,1768-3092,MASSON EDITEUR
NUTRITION & DIABETES,2044-4052,2044-4052,SPRINGERNATURE
NUTRITION & DIETETICS,1446-6368,1747-0080,WILEY
NUTRITION IN CLINICAL PRACTICE,0884-5336,1941-2452,WILEY
NUTRITION JOURNAL,,1475-2891,BMC
NUTRITION & METABOLISM,,1743-7075,BMC
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0939-4753,1590-3729,ELSEVIER SCI LTD
NUTRITION RESEARCH,0271-5317,1879-0739,PERGAMON-ELSEVIER SCIENCE LTD
NUTRITION RESEARCH AND PRACTICE,1976-1457,2005-6168,KOREAN NUTRITION SOC
NUTRITION RESEARCH REVIEWS,0954-4224,1475-2700,CAMBRIDGE UNIV PRESS
NUTRITION REVIEWS,0029-6643,1753-4887,OXFORD UNIV PRESS INC
OBESITY,1930-7381,1930-739X,WILEY
OBESITY FACTS,1662-4025,1662-4033,KARGER
OBESITY RESEARCH & CLINICAL PRACTICE,1871-403X,1878-0318,ELSEVIER SCI LTD
OBESITY REVIEWS,1467-7881,1467-789X,WILEY
OBESITY SURGERY,0960-8923,1708-0428,SPRINGER
OBSERVATORY,0029-7704,,OBSERVATORY
OBSTETRICAL & GYNECOLOGICAL SURVEY,0029-7828,1533-9866,LIPPINCOTT WILLIAMS & WILKINS
OBSTETRICS AND GYNECOLOGY,0029-7844,0029-7844,LIPPINCOTT WILLIAMS & WILKINS
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,0889-8545,1558-0474,W B SAUNDERS CO-ELSEVIER INC
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,1351-0711,1470-7926,BMJ PUBLISHING GROUP
OCCUPATIONAL MEDICINE-OXFORD,0962-7480,1471-8405,OXFORD UNIV PRESS
OCCUPATIONAL THERAPY INTERNATIONAL,0966-7903,1557-0703,WILEY
OCEAN AND COASTAL RESEARCH,,2675-2824,"INST OCEANOGRAFICO, UNIV SAO PAULO"
OCEAN & COASTAL MANAGEMENT,0964-5691,1873-524X,ELSEVIER SCI LTD
OCEAN DYNAMICS,1616-7341,1616-7228,SPRINGER HEIDELBERG
OCEAN ENGINEERING,0029-8018,1873-5258,PERGAMON-ELSEVIER SCIENCE LTD
OCEAN MODELLING,1463-5003,1463-5011,ELSEVIER SCI LTD
OCEANOGRAPHY,1042-8275,1042-8275,OCEANOGRAPHY SOC
OCEANOLOGIA,0078-3234,2300-7370,POLISH ACAD SCIENCES INST OCEANOLOGY
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,1730-413X,1897-3191,WALTER DE GRUYTER GMBH
OCEANOLOGY,0001-4370,1531-8508,PLEIADES PUBLISHING INC
OCEAN SCIENCE,1812-0784,1812-0792,COPERNICUS GESELLSCHAFT MBH
OCEAN SCIENCE JOURNAL,1738-5261,2005-7172,KOREA INST OCEAN SCIENCE & TECHNOLOGY-KIOST
OCULAR IMMUNOLOGY AND INFLAMMATION,0927-3948,1744-5078,TAYLOR & FRANCIS INC
OCULAR SURFACE,1542-0124,1937-5913,ELSEVIER
ODONATOLOGICA,0375-0183,0375-0183,SOC INT ODONATOLOGICA
ODONTOLOGY,1618-1247,1618-1255,SPRINGER
OECOLOGIA,0029-8549,1432-1939,SPRINGER
OENO ONE,,2494-1271,INT VITICULTURE & ENOLOGY SOC-IVES
OFIOLITI,0391-2612,,OFIOLITI
OIKOS,0030-1299,1600-0706,WILEY
OIL & GAS JOURNAL,0030-1388,1944-9151,PENNWELL PUBL CO ENERGY GROUP
OIL SHALE,0208-189X,1736-7492,ESTONIAN ACAD PUBLISHERS
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,0305-0483,1873-5274,PERGAMON-ELSEVIER SCIENCE LTD
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1536-2310,1557-8100,"MARY ANN LIEBERT, INC"
ONCOGENE,0950-9232,1476-5594,SPRINGERNATURE
ONCOGENESIS,2157-9024,2157-9024,SPRINGERNATURE
ONCOIMMUNOLOGY,2162-402X,2162-402X,TAYLOR & FRANCIS INC
ONCOLOGIE,1292-3818,1765-2839,WALTER DE GRUYTER GMBH
ONCOLOGIST,1083-7159,1549-490X,OXFORD UNIV PRESS
ONCOLOGY,0030-2414,1423-0232,KARGER
ONCOLOGY LETTERS,1792-1074,1792-1082,SPANDIDOS PUBL LTD
ONCOLOGY-NEW YORK,0890-9091,2767-7389,UBM MEDICA
ONCOLOGY NURSING FORUM,0190-535X,1538-0688,ONCOLOGY NURSING SOC
ONCOLOGY REPORTS,1021-335X,1791-2431,SPANDIDOS PUBL LTD
ONCOLOGY RESEARCH,0965-0407,1555-3906,TECH SCIENCE PRESS
ONCOLOGY RESEARCH AND TREATMENT,2296-5270,2296-5262,KARGER
ONCOTARGETS AND THERAPY,1178-6930,1178-6930,DOVE MEDICAL PRESS LTD
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,0030-2465,2219-0635,AOSIS
ONE EARTH,2590-3330,2590-3322,CELL PRESS
ONE HEALTH,,2352-7714,ELSEVIER
ONKOLOGIE,2731-7226,2731-7234,SPRINGER HEIDELBERG
ONLINE INFORMATION REVIEW,1468-4527,1468-4535,EMERALD GROUP PUBLISHING LTD
OPEN ASTRONOMY,,2543-6376,DE GRUYTER POLAND SP Z O O
OPEN BIOLOGY,,2046-2441,ROYAL SOC
OPEN CHEMISTRY,2391-5420,2391-5420,DE GRUYTER POLAND SP Z O O
OPEN FORUM INFECTIOUS DISEASES,2328-8957,2328-8957,OXFORD UNIV PRESS INC
OPEN GEOSCIENCES,2391-5447,2391-5447,DE GRUYTER POLAND SP Z O O
OPEN LIFE SCIENCES,2391-5412,2391-5412,DE GRUYTER POLAND SP Z O O
OPEN MATHEMATICS,2391-5455,2391-5455,DE GRUYTER POLAND SP Z O O
OPEN MEDICINE,2391-5463,2391-5463,DE GRUYTER POLAND SP Z O O
OPEN PHYSICS,2391-5471,2391-5471,DE GRUYTER POLAND SP Z O O
OPEN SYSTEMS & INFORMATION DYNAMICS,1230-1612,1793-7191,WORLD SCIENTIFIC PUBL CO PTE LTD
OPERATIONAL RESEARCH,1109-2858,1866-1505,SPRINGER HEIDELBERG
OPERATIONS RESEARCH,0030-364X,1526-5463,INFORMS
OPERATIONS RESEARCH LETTERS,0167-6377,1872-7468,ELSEVIER
OPERATIONS RESEARCH PERSPECTIVES,,2214-7160,ELSEVIER
OPERATIVE DENTISTRY,0361-7734,1559-2863,OPERATIVE DENTISTRY INC
OPERATIVE NEUROSURGERY,2332-4252,2332-4260,LIPPINCOTT WILLIAMS & WILKINS
OPERATIVE ORTHOPADIE UND TRAUMATOLOGIE,0934-6694,1439-0981,URBAN & VOGEL
OPERATIVE TECHNIQUES IN SPORTS MEDICINE,1060-1872,1557-9794,W B SAUNDERS CO-ELSEVIER INC
OPERATORS AND MATRICES,1846-3886,1846-3886,ELEMENT
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,0275-5408,1475-1313,WILEY
OPHTHALMIC EPIDEMIOLOGY,0928-6586,1744-5086,TAYLOR & FRANCIS INC
OPHTHALMIC GENETICS,1381-6810,1744-5094,TAYLOR & FRANCIS INC
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,0740-9303,1537-2677,LIPPINCOTT WILLIAMS & WILKINS
OPHTHALMIC RESEARCH,0030-3747,1423-0259,KARGER
OPHTHALMIC SURGERY LASERS & IMAGING RETINA,2325-8160,2325-8179,SLACK INC
OPHTHALMOLOGICA,0030-3755,1423-0267,KARGER
OPHTHALMOLOGIE,2731-720X,2731-7218,SPRINGER HEIDELBERG
OPHTHALMOLOGY,0161-6420,1549-4713,ELSEVIER SCIENCE INC
OPHTHALMOLOGY AND THERAPY,2193-8245,2193-6528,SPRINGER INT PUBL AG
OPTICA,2334-2536,2334-2536,OPTICA PUBLISHING GROUP
OPTICA APPLICATA,0078-5466,1899-7015,WROCLAW UNIV SCIENCE TECHNOLOGY
OPTICAL AND QUANTUM ELECTRONICS,0306-8919,1572-817X,SPRINGER
OPTICAL ENGINEERING,0091-3286,1560-2303,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS
OPTICAL FIBER TECHNOLOGY,1068-5200,1095-9912,ELSEVIER SCIENCE INC
OPTICAL MATERIALS,0925-3467,1873-1252,ELSEVIER
OPTICAL MATERIALS EXPRESS,2159-3930,2159-3930,OPTICA PUBLISHING GROUP
OPTICAL REVIEW,1340-6000,1349-9432,OPTICAL SOC JAPAN
OPTICAL SWITCHING AND NETWORKING,1573-4277,1872-9770,ELSEVIER
OPTICS AND LASERS IN ENGINEERING,0143-8166,1873-0302,ELSEVIER SCI LTD
OPTICS AND LASER TECHNOLOGY,0030-3992,1879-2545,ELSEVIER SCI LTD
OPTICS AND SPECTROSCOPY,0030-400X,1562-6911,PLEIADES PUBLISHING INC
OPTICS COMMUNICATIONS,0030-4018,1873-0310,ELSEVIER
OPTICS EXPRESS,1094-4087,1094-4087,OPTICA PUBLISHING GROUP
OPTICS LETTERS,0146-9592,1539-4794,OPTICA PUBLISHING GROUP
OPTIMAL CONTROL APPLICATIONS & METHODS,0143-2087,1099-1514,WILEY
OPTIMIZATION,0233-1934,1029-4945,TAYLOR & FRANCIS LTD
OPTIMIZATION AND ENGINEERING,1389-4420,1573-2924,SPRINGER
OPTIMIZATION LETTERS,1862-4472,1862-4480,SPRINGER HEIDELBERG
OPTIMIZATION METHODS & SOFTWARE,1055-6788,1029-4937,TAYLOR & FRANCIS LTD
OPTO-ELECTRONIC ADVANCES,2096-4579,2097-3993,"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS"
OPTOELECTRONICS AND ADVANCED MATERIALS-RAPID COMMUNICATIONS,1842-6573,2065-3824,NATL INST OPTOELECTRONICS
OPTO-ELECTRONICS REVIEW,1230-3402,1896-3757,POLISH ACAD SCIENCES
OPTOMETRY AND VISION SCIENCE,1040-5488,1538-9235,LIPPINCOTT WILLIAMS & WILKINS
ORAL AND MAXILLOFACIAL SURGERY CLINICS OF NORTH AMERICA,1042-3699,1558-1365,W B SAUNDERS CO-ELSEVIER INC
ORAL DISEASES,1354-523X,1601-0825,WILEY
ORAL HEALTH & PREVENTIVE DENTISTRY,1602-1622,1757-9996,QUINTESSENCE PUBLISHING CO INC
ORAL ONCOLOGY,1368-8375,1879-0593,ELSEVIER
ORAL RADIOLOGY,0911-6028,1613-9674,SPRINGER
ORAL SURGERY ORAL MEDICINE ORAL PATHOLOGY ORAL RADIOLOGY,2212-4403,2212-4411,ELSEVIER SCIENCE INC
ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,0167-8094,1572-9273,SPRINGER
ORE GEOLOGY REVIEWS,0169-1368,1872-7360,ELSEVIER
ORGANIC & BIOMOLECULAR CHEMISTRY,1477-0520,1477-0539,ROYAL SOC CHEMISTRY
ORGANIC CHEMISTRY FRONTIERS,2052-4129,2052-4129,ROYAL SOC CHEMISTRY
ORGANIC ELECTRONICS,1566-1199,1878-5530,ELSEVIER
ORGANIC GEOCHEMISTRY,0146-6380,1873-5290,PERGAMON-ELSEVIER SCIENCE LTD
ORGANIC LETTERS,1523-7060,1523-7052,AMER CHEMICAL SOC
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,0030-4948,1945-5453,TAYLOR & FRANCIS INC
ORGANIC PROCESS RESEARCH & DEVELOPMENT,1083-6160,1520-586X,AMER CHEMICAL SOC
ORGANISMS DIVERSITY & EVOLUTION,1439-6092,1618-1077,SPRINGER HEIDELBERG
ORGANOGENESIS,1547-6278,1555-8592,TAYLOR & FRANCIS INC
ORGANOMETALLICS,0276-7333,1520-6041,AMER CHEMICAL SOC
ORIENTAL INSECTS,0030-5316,2157-8745,TAYLOR & FRANCIS LTD
ORL-JOURNAL FOR OTO-RHINO-LARYNGOLOGY HEAD AND NECK SURGERY,0301-1569,1423-0275,KARGER
ORNIS FENNICA,0030-5685,0030-5685,BIRDLIFE FINLAND
ORNITHOLOGICAL APPLICATIONS,0010-5422,2732-4621,OXFORD UNIV PRESS INC
ORNITHOLOGICAL SCIENCE,1347-0558,1347-0558,"ORNITHOLOGICAL SOC JAPAN, UNIV TOKYO, SCH AGR"
ORNITHOLOGY,0004-8038,2732-4613,OXFORD UNIV PRESS INC
ORNITHOLOGY RESEARCH,,2662-673X,SPRINGERNATURE
ORNITOLOGIA NEOTROPICAL,1075-4377,1075-4377,"NEOTROPICAL ORNITHOLOGICAL SOC, USGS PATUXENT WILDLIFE RESEARCH CTR"
ORPHANET JOURNAL OF RARE DISEASES,,1750-1172,BMC
OR SPECTRUM,0171-6468,1436-6304,SPRINGER
ORTHODONTICS & CRANIOFACIAL RESEARCH,1601-6335,1601-6343,WILEY
ORTHOPADIE,2731-7145,2731-7153,SPRINGER
ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,,2325-9671,SAGE PUBLICATIONS INC
ORTHOPAEDIC NURSING,0744-6020,1542-538X,LIPPINCOTT WILLIAMS & WILKINS
ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,1877-0568,1877-0568,"ELSEVIER MASSON, CORPORATION OFFICE"
ORTHOPAEDIC SURGERY,1757-7853,1757-7861,WILEY
ORTHOPEDIC CLINICS OF NORTH AMERICA,0030-5898,1558-1373,W B SAUNDERS CO-ELSEVIER INC
ORTHOPEDICS,0147-7447,1938-2367,SLACK INC
ORVOSI HETILAP,0030-6002,1788-6120,AKADEMIAI KIADO ZRT
ORYX,0030-6053,1365-3008,CAMBRIDGE UNIV PRESS
OSAKA JOURNAL OF MATHEMATICS,0030-6126,,OSAKA JOURNAL OF MATHEMATICS
OSIRIS,0369-7827,1933-8287,UNIV CHICAGO PRESS
OSTEOARTHRITIS AND CARTILAGE,1063-4584,1522-9653,ELSEVIER SCI LTD
OSTEOPOROSIS INTERNATIONAL,0937-941X,1433-2965,SPRINGER LONDON LTD
OSTRICH,0030-6525,1727-947X,TAYLOR & FRANCIS LTD
OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA,0030-6665,1557-8259,W B SAUNDERS CO-ELSEVIER INC
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,0194-5998,1097-6817,WILEY
OTOLOGY & NEUROTOLOGY,1531-7129,1537-4505,LIPPINCOTT WILLIAMS & WILKINS
OUTLOOK ON AGRICULTURE,0030-7270,2043-6866,SAGE PUBLICATIONS LTD
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,0305-9049,1468-0084,WILEY
OZONE-SCIENCE & ENGINEERING,0191-9512,1547-6545,TAYLOR & FRANCIS INC
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,0147-8389,1540-8159,WILEY
PACHYDERM,1026-2881,,IUCN-SSC ASIAN ELEPHANT SPECIALIST GROUP
PACIFIC JOURNAL OF MATHEMATICS,0030-8730,1945-5844,MATHEMATICAL SCIENCES PUBLISHERS
PACIFIC JOURNAL OF OPTIMIZATION,1348-9151,1348-9151,YOKOHAMA PUBL
