Journal title,ISSN,eISSN,Publisher details,Publisher details2,Country of Publication,Language,Web Address
Annales Scientifiques de l'Ecole Normale Supérieure,0012-9593,1873-2151,,Société Mathématique de France,France,French,https://www.math.ens.fr/edition/annales/vol53-2020.html
Annals of Applied Statistics,1932-6157,1941-7330,Institute of Mathematical Statistics,,United States,,https://www.imstat.org/journals-and-publications/annals-of-applied-statistics/
Annals of Mathematics,0003-486X,1939-8980,Princeton University Press,,United States,,http://www.math.princeton.edu/~annals/
Annals of Probability,0091-1798,2168-894X,Institute of Mathematical Statistics,,United States,,http://www.imstat.org/aop/
Annals of Pure and Applied Logic,0168-0072,1873-2461,Elsevier,,United States,,http://www.sciencedirect.com/science/journal/01680072
Annals of Statistics,0090-5364,2168-8966,Institute of Mathematical Statistics,,United States,,http://www.imstat.org/aos/
Annual Review of Fluid Mechanics,0066-4189,1545-4479,,Annual Reviews,United States,,http://arjournals.annualreviews.org/loi/fluid
"Applicable Algebra in Engineering, Communication and Computing",0938-1279,1432-0622,Springer,,Germany,,http://link.springer.de/link/service/journals/00200/index.htm
Applied Mathematics and Optimization,0095-4616,1432-0606,Springer,,United States,,http://www.springer.com/mathematics/journal/245
Archive for History of Exact Sciences,0003-9519,1432-0657,Springer,,Germany,English,http://www.springer.com/mathematics/history+of+mathematics/journal/407
Archive for Rational Mechanics and Analysis,0003-9527,1432-0673,Springer,,Germany,,"http://www.springer.com/sgw/cda/frontpage/0,11855,1-0-70-1021617-detailsPage%253Djournal%257Cdescription%257Cdescription,00.html?referer=www.springer.com%2Fjournal%2F00205%2Fabout"
Bayesian Analysis,1936-0975,1931-6690,,International Society for Bayesian Analysis,United States,English,http://ba.stat.cmu.edu/
Bernoulli,1350-7265,1573-9759,,International Statistical Institute,Netherlands,,http://projecteuclid.org/Dienst/UI/1.0/Journal?authority=euclid.bj
Biometrics,0006-341X,1541-0420,,,United States,,http://eu.wiley.com/WileyCDA/
Biometrika,0006-3444,1464-3510,Oxford University Press,,United Kingdom,,http://www.oxfordjournals.org/biomet/about.html
Biostatistics,1465-4644,1468-4357,Oxford University Press,,United Kingdom,,http://biostatistics.oupjournals.org/
Bulletin of Symbolic Logic,1079-8986,1943-5894,Cambridge University Press,The Association for Symbolic Logic,United States,English,http://journals.cambridge.org/action/displayJournal?jid=BSL
Bulletin of the American Mathematical Society,0273-0979,1088-9485,American Mathematical Society (AMS),,United States,English,https://www.ams.org/publications/journals/journalsframework/bull
Bulletin of the London Mathematical Society,0024-6093,1469-2120,John Wiley & Sons,London Mathematical Society,United Kingdom,English,https://www.lms.ac.uk/publications/blms
Cambridge Journal of Mathematics (CJM),2168-0930,2168-0949,,International Press of Boston,United States,English,https://www.intlpress.com/site/pub/pages/journals/items/cjm/_home/_main/
Combinatorica,0209-9683,1439-6912,,,,,http://www.springerlink.com/?MUD=MP
Commentarii Mathematici Helvetici,0010-2571,1420-8946,,,Switzerland,,http://www.ems-ph.org/journals/journal.php?jrn=cmh
Communications in Contemporary Mathematics,0219-1997,,,,,,http://www.worldscientific.com/
Communications in Mathematical Physics,0010-3616,1432-0916,Springer,,Germany,,http://www.springerlink.com/content/100467/
Communications in Partial Differential Equations,0360-5302,1532-4133,Taylor & Francis,,United Kingdom,,http://www.tandf.co.uk/Journals/titles/03605302.asp
Communications on Pure and Applied Mathematics,0010-3640,1097-0312,John Wiley & Sons,,United States,,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-CPA.html
Compositio Mathematica,0010-437X,1570-5846,London Mathematical Society,,United Kingdom,,http://www.compositio.nl/
Computational Complexity,1016-3328,1420-8954,MIT Press,,Switzerland,,http://www.springer.com/birkhauser/computer+science/journal/37
Computer Aided Geometric Design,0167-8396,1879-2332,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/01678396
Computer Methods in Applied Mechanics and Engineering,0045-7825,1879-2138,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/00457825
Constructive approximation,0176-4276,1432-0940,Springer,,United States,,http://www.springerlink.com/content/100122/
Discrete and Continuous Dynamical Systems. Series A,1078-0947,1553-5231,American Institute of Mathematical Sciences (AIMS) Press,,United States,,http://aimsciences.org/journals/dcdsA/index.htm
Documenta Mathematica,1431-0635,1431-0643,,,,,NA
Duke mathematical journal,0012-7094,1547-7398,,,,,http://www.dukeupress.edu/
Educational Studies in Mathematics,0013-1954,1573-0816,Springer,,Netherlands,Multiple languages,http://link.springer.com/journal/10649
Ergodic Theory and Dynamical Systems,0143-3857,1469-4417,Cambridge University Press,,United Kingdom,,http://journals.cambridge.org/action/displayJournal?jid=ETS&bVolume=y&volumeId=25#loc25
For the Learning of Mathematics,0228-0671,,,FLM Publishing Association,Canada,Multiple languages,http://flm-journal.org/
"Forum of Mathematics, Pi",,2050-5086,Cambridge University Press,,United Kingdom,English,https://www.cambridge.org/core/journals/forum-of-mathematics-pi
"Forum of Mathematics, Sigma",,2050-5094,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=FMs
Foundations of Computational Mathematics,1615-3375,1615-3383,,,United States,,http://www.springerlink.com/?MUD=MP
Geometric and Functional Analysis,1016-443X,1420-8970,Birkhäuser Verlag,,Switzerland,,http://www.springer.com/birkhauser/mathematics/journal/39
Geometry and Topology,1465-3060,1364-0380,,University of Warwick,United Kingdom,,http://www.maths.warwick.ac.uk/gt/
Historia Mathematica,0315-0860,1090-249X,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/03150860
IMA Journal of Numerical Analysis,0272-4979,1464-3642,Oxford University Press,,United Kingdom,,https://academic.oup.com/imajna
Indiana University Mathematics Journal,0022-2518,1943-5258,,Indiana University Press,United States,,http://www.iumj.indiana.edu/
Infinite Dimensional Analysis Quantum Probability and Related Topics,0219-0257,,,,Singapore,,http://ejournals.wspc.com.sg/idaqp/idaqp.shtml
International Journal for Numerical Methods in Engineering,0029-5981,1097-0207,,,United Kingdom,,http://www3.interscience.wiley.com/cgi-bin/jhome/1430
International Mathematics Research Notices (IMRN),1073-7928,1687-0247,Oxford University Press,,United Kingdom,English,https://academic.oup.com/imrn
Inventiones Mathematicae,0020-9910,1432-1297,,,Germany,,http://www.springer.com/math/journal/222
Inverse Problems,0266-5611,1361-6420,,,United Kingdom,,http://www.iop.org/EJ/journal/0266-5611
Journal d'Analyse Mathematique,0021-7670,1565-8538,Hebrew University Magne Press,,Israel,,http://www.ma.huji.ac.il/jdm/
Journal des Mathématiques Pures et Appliquées,0021-7824,1776-3371,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/00217824
Journal for Research in Mathematics Education,0021-8251,1945-2306,,National Council of Teachers of Mathematics,United States,English,http://www.nctm.org/publications/journal-for-research-in-mathematics-education/
Journal für die Reine und Angewandte Mathematik,0075-4102,1435-5345,Walter de Gruyter (De Gruyter),,Germany,,http://www.degruyter.de/rs/278_3127_DEU_h.htm
Journal of Algebra,0021-8693,1090-266X,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/00218693
Journal of Algebraic Geometry,1056-3911,1534-7486,,University Press,United States,,http://www.ams.org/distribution/jag/
Journal of Applied Probability,0021-9002,1475-6072,,,United Kingdom,,http://www.appliedprobability.org/ap.html
Journal of combinatorial algebra,2415-6302,2415-6310,,European mathematical society,,English,https://www.ems-ph.org/journals/journal.php?jrn=jca
Journal of combinatorial theory. Series A,0097-3165,1096-0899,,,United States,,http://www.sciencedirect.com/science/journal/00973165
Journal of combinatorial theory. Series B (Print),0095-8956,1096-0902,,,,,http://www.sciencedirect.com/science/journal/00958956
Journal of Computational And Graphical Statistics (JCGS),1061-8600,1537-2715,Taylor & Francis,,United States,English,https://www.tandfonline.com/toc/ucgs20/current
Journal of Cryptology,0933-2790,1432-1378,Springer,,United States,,"http://www.springeronline.com/sgw/cda/frontpage/0,11855,5-0-70-1009426-detailsPage%253Djournal%257Cdescription%257Cdescription,00.html?referer=www.springeronline.com%2Fjournal%2F00145%2Fabout"
Journal of Differential Equations,0022-0396,1090-2732,Academic Press,,United States,,http://www.sciencedirect.com/science/journal/00220396
Journal of differential geometry,0022-040X,1945-743X,,,,,http://www.intlpress.com/
Journal of Fluid Mechanics,0022-1120,1469-7645,Cambridge University Press,,United Kingdom,,http://www.journals.cambridge.org/bin/bladerunner?30REQEVENT=&REQAUTH=0&500002REQSUB=&REQSTR1=JournalofFluidMechanics
Journal of Fourier Analysis and Applications,1069-5869,1531-5851,,Birkhäuser Boston,United States,,http://www.springer.com/birkhauser/mathematics/journal/41
Journal of Functional Analysis,0022-1236,1096-0783,Academic Press,,United States,,http://www.sciencedirect.com/science/journal/00221236
Journal of Geometric Analysis,1050-6926,1559-002X,,,United States,,http://www.mathjournals.org/jgan/
Journal of Mathematical Behavior,0732-3123,1873-8028,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/07323123
Journal of Mathematical Biology,0303-6812,1432-1416,,,Netherlands,,http://www.springer.com/math/biology/journal/285
Journal of Mathematical Imaging and Vision,0924-9907,1573-7683,Springer,,United States,,http://www.springer.com/computer/computer+imaging/journal/10851
Journal of Mathematical Logic,0219-0613,,,,,,http://www.worldscinet.com/jml/jml.shtml
Journal of Mathematics Teacher Education,1386-4416,1573-1820,Springer,,Netherlands,English,http://link.springer.com/journal/10857
Journal of Noncommutative Geometry,1661-6952,1661-6960,,EMS Publishing House,Switzerland,,http://www.ems-ph.org/journals/jncg/jncg.php
Journal of Number Theory,0022-314X,1096-1658,,,United States,,http://www.sciencedirect.com/science/journal/0022314X
Journal of Statistical Software,,1548-7660,,American Statistical Association,United States,,http://www.jstatsoft.org/
Journal of Symbolic Logic (JSL),0022-4812,1943-5886,Association for Symbolic Logic,,United States,English,http://journals.cambridge.org/action/displayJournal?jid=JSL
Journal of The American Mathematical Society,0894-0347,1088-6834,American Mathematical Society (AMS),,United States,,http://www.ams.org/jams/
Journal of the American Statistical Association,0162-1459,1537-274X,,,,,http://www.tandf.co.uk/journals/default.asp
Journal of the European Mathematical Society (Print),1435-9855,1435-9863,,,,,http://www.ems-ph.org/
Journal of the Institute of Mathematics of Jussieu,1474-7480,1475-3030,,,United Kingdom,,http://www.cambridge.org/uk/
Journal of the London Mathematical Society,0024-6107,1469-7750,John Wiley & Sons,,United Kingdom,English,https://londmathsoc.onlinelibrary.wiley.com/journal/14697750
Journal of The Royal Statistical Society Series B-statistical Methodology,1369-7412,1467-9868,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/aims.asp?ref=1369-7412&site=1
Journal of the Royal Statistical Society: Series A (Statistics in Society),0964-1998,1467-985X,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/journal.asp?ref=0964-1998
Journal of Time Series Analysis,0143-9782,1467-9892,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/aims.asp?ref=0143-9782&site=1
Journal of Topology,1753-8416,1753-8424,John Wiley & Sons,,United Kingdom,English,https://londmathsoc.onlinelibrary.wiley.com/journal/17538424
Mathematical Finance,0960-1627,1467-9965,,,,,http://eu.wiley.com/WileyCDA/
Mathematical Models and Methods in Applied Sciences,0218-2025,1793-4060,World Scientific,,Singapore,English,https://www.worldscientific.com/worldscinet/m3as
Mathematical Research Letters,1073-2780,1945-001X,,International Press,United States,,http://www.mrlonline.org/mrl/
Mathematical Thinking and Learning,1098-6065,1532-7833,Routledge,,United States,English,http://www.tandfonline.com/loi/hmtl20
Mathematics of Computation,0025-5718,1088-6842,American Mathematical Society (AMS),,United States,,http://www.ams.org/mcom/
Mathematics of Operations Research,0364-765X,1526-5471,Institute for Operations Research and the Management Sciences (INFORMS),,United States,,http://mor.journal.informs.org
Mathematische Annalen,0025-5831,1432-1807,,,,,http://www.springer.com/gp/products/journals
Mathematische Zeitschrift,0025-5874,1432-1823,Springer,,Germany,,http://link.springer.de/link/service/journals/00209/index.htm
Memoirs of the American Mathematical Society,0065-9266,1947-6221,American Mathematical Society (AMS),,United States,,http://www.ams.org/journals/memoirs/
Networks and Heterogeneous Media,1556-1801,1556-181X,American Institute of Mathematical Sciences (AIMS) Press,,United States,,http://www.aimsciences.org/journals/NHM/index.htm
Nonlinearity,0951-7715,1361-6544,,,,,http://www.lms.ac.uk/
Numerische Mathematik,0029-599X,0945-3245,Springer,,Germany,,http://link.springer.com/journal/211
Physica D : Non-linear phenomena,0167-2789,1872-8022,,,,,http://www.sciencedirect.com/science/journal/01672789
Probability theory and related fields,0178-8051,1432-2064,,,,,http://www.springerlink.com/?MUD=MP
Proceedings of the London Mathematical Society,0024-6115,1460-244X,London Mathematical Society,,United Kingdom,,http://www.lms.ac.uk/publications/proceedings/
Publications mathématiques (Bures-sur-Yvette),0073-8301,1618-1913,Springer,,,,http://www.springer.com/gp/products/journals
Random structures & algorithms (Print),1042-9832,1098-2418,,,,,http://eu.wiley.com/WileyCDA/
Research in Mathematics Education,1479-4802,1754-0178,Routledge,British Society for Research into Learning Mathema,United Kingdom,English,https://www.tandfonline.com/toc/rrme20/current
Revista matemática iberoamericana,0213-2230,2235-0616,,,,,http://www.ems-ph.org/
Scandinavian Journal of Statistics,0303-6898,1467-9469,,,United Kingdom,,http://eu.wiley.com/WileyCDA/
"Selecta Mathematica, New Series",1022-1824,1420-9020,,,,,http://www.springerlink.com/?MUD=MP
SIAM Journal of Control and Optimization,0363-0129,1095-7138,,,United States,,http://epubs.siam.org/sam-bin/dbq/toclist/SICON
SIAM Journal on Applied Mathematics,0036-1399,1095-712X,Society for Industrial and Applied Mathematics,,United States,,http://epubs.siam.org/journal/smjmap
SIAM journal on computing (Print),0097-5397,1095-7111,,,,,http://www.siam.org/
SIAM Journal on Financial Mathematics,,1945-497X,Society for Industrial and Applied Mathematics,,United States,English,http://scitation.aip.org/sifin
SIAM Journal on Mathematical Analysis,0036-1410,1095-7154,,,,,http://www.siam.org/
SIAM Journal on Matrix Analysis and Applications,0895-4798,1095-7162,,,United States,,http://www.siam.org/journals/simax.php
SIAM Journal on Numerical Analysis,0036-1429,1095-7170,Society for Industrial and Applied Mathematics,,United States,,http://www.siam.org/journals/sinum.php
SIAM Journal on Optimization,1052-6234,1095-7189,Society for Industrial and Applied Mathematics,,United States,,http://www.siam.org/journals/siopt.php
SIAM Journal on Scientific Computing,1064-8275,1095-7197,Society for Industrial and Applied Mathematics,,United States,,http://www.siam.org/journals/sisc.php
SIAM Review,0036-1445,1095-7200,Society for Industrial and Applied Mathematics,,United States,,http://www.siam.org/journals/sirev.php
SMAI Journal of Computational Mathematics (SMAI-JCM),,2426-8399,,Société de mathématiques appliquées et industrielles (SMAI),France,English,https://smai-jcm.centre-mersenne.org/
Springer Monographs in Mathematics,1439-7382,2196-9922,Springer,,"Germany, United States",English,https://link.springer.com/bookseries/3733
Statistical Science,0883-4237,2168-8745,,,,,http://imstat.org/en/index.html
Statistics and computing,0960-3174,1573-1375,,,,,http://www.springer.com/gp/products/journals
Stochastic Processes and their Applications,0304-4149,1879-209X,,North Holland Publishing Company,Netherlands,,http://www.sciencedirect.com/science/journal/03044149
Technometrics,0040-1706,1537-2723,,,,,http://www.tandf.co.uk/journals/default.asp
The Annals of Applied Probability,1050-5164,2168-8737,Institute of Mathematical Statistics,,United States,,http://www.imstat.org/aap/
"The Journal of the Royal Statistical Society, Series C (Applied Statistics)",0035-9254,1467-9876,John Wiley & Sons,,United Kingdom,English,https://rss.onlinelibrary.wiley.com/journal/14679876
Transactions of the American Mathematical Society,0002-9947,1088-6850,,,,,http://www.ams.org/journals/
Transactions of the American Mathematical Society - Series B,,2330-0000,American Mathematical Society (AMS),,United States,English,http://www.ams.org/publications/journals/journalsframework/btran
ZDM: Mathematics Education,1863-9690,1863-9704,Springer,,Germany,English,https://www.springer.com/journal/11858
Advances in Physics,0001-8732,1460-6976,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/tadp20/current
Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282,,Annual Reviews,United States,,http://arjournals.annualreviews.org/loi/astro
Annual Review of Earth and Planetary Science,0084-6597,1545-4495,,,,,http://www.annualreviews.org/
Annual Review of Nuclear and Particle Science,0163-8998,1545-4134,,Annual Reviews,United States,,http://arjournals.annualreviews.org/loi/nucl
Astronomy and Astrophysics (A & A),0004-6361,1432-0746,EDP Sciences,,France,English,https://www.aanda.org/
Astrophysical Journal Letters,2041-8205,2041-8213,,Institute of Physics Publishing Ltd.,United Kingdom,English,http://iopscience.iop.org/2041-8205
Astrophysical Journal Supplement Series,0067-0049,1538-4365,,University of Chicago Press,United States,,http://www.noao.edu/apjsup/apjsup.html
ChemPhysChem,1439-4235,1439-7641,Wiley-VCH,,Germany,English,https://chemistry-europe.onlinelibrary.wiley.com/journal/14397641
European Physical Journal C,1434-6044,1434-6052,Springer,,Germany,English,https://link.springer.com/journal/10052
Journal of Computational Physics,0021-9991,1090-2716,Elsevier,,"Netherlands, United States",English,https://www.sciencedirect.com/journal/journal-of-computational-physics
Journal of Computational Physics: X,,2590-0552,Elsevier,,United States,English,https://www.sciencedirect.com/journal/journal-of-computational-physics-x
Journal of Geophysical Research (JGR): Space Physics,2169-9380,2169-9402,American Geophysical Union (AGU),,United States,English,https://agupubs.onlinelibrary.wiley.com/journal/21699402
Journal of High Energy Physics (JHEP),1126-6708,1029-8479,Springer,,"Germany, Italy",English,https://link.springer.com/journal/13130
Nature Photonics,1749-4885,1749-4893,,Nature Portfolio,United Kingdom,,http://www.nature.com/nphoton
Nature Physics,1745-2473,1745-2481,,Nature Portfolio,United Kingdom,,http://www.nature.com/nphys
New Journal of Physics,,1367-2630,,,,,http://www.iop.org/
Nuclear Physics B,0550-3213,1873-1562,,North Holland Publishing Company,Netherlands,,http://www.sciencedirect.com/science/journal/05503213
Optica,,2334-2536,Optical Society of America,,United States,English,https://www.osapublishing.org/optica/home.cfm
Physical Review A (PRA),2469-9926,2469-9934,,American Physical Society,United States,English,https://journals.aps.org/pra/
Physical Review Applied,,2331-7019,,American Physical Society,United States,English,http://journals.aps.org/prapplied
Physical review B (PRB),2469-9950,2469-9969,,American Physical Society,United States,English,https://journals.aps.org/prb
Physical Review Letters,0031-9007,1079-7114,,American Physical Society,United States,,http://prl.aps.org/
Physical Review X,,2160-3308,,American Physical Society,United States,English,http://prx.aps.org/
Physics Education,0031-9120,1361-6552,IOP Publishing,,United Kingdom,English,https://iopscience.iop.org/journal/0031-9120
Physics Letters B,0370-2693,1873-2445,,North-Holland,Netherlands,,http://www.sciencedirect.com/science/journal/03702693
Physics reports,0370-1573,1873-6270,,,,,http://www.sciencedirect.com/science/journal/03701573
Reports on progress in physics (Print),0034-4885,1361-6633,,,,,http://iopscience.iop.org/
Reviews of Geophysics,8755-1209,1944-9208,American Geophysical Union (AGU),,United States,,http://www.agu.org/journals/rg/
Reviews of Modern Physics,0034-6861,1539-0756,,American Physical Society,United States,,http://rmp.aps.org/
The Astrophysical Journal (ApJ),0004-637X,1538-4357,IOP Publishing,,United Kingdom,English,https://iopscience.iop.org/journal/0004-637X
American Anthropologist,0002-7294,1548-1433,John Wiley & Sons,American Anthropological Association,United States,English,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1433
American Ethnologist,0094-0496,1548-1425,John Wiley & Sons,American Anthropological Association,United States,English,https://anthrosource.onlinelibrary.wiley.com/journal/15481425
Anthropological Quarterly,0003-5491,1534-1518,,George Washington University,United States,English,http://aq.gwu.edu/
Anthropological Theory,1463-4996,1741-2641,Sage Publications,,United Kingdom,English,http://ant.sagepub.com/
Cultural anthropology,0886-7356,1548-1360,,American Anthropological Association,United States,English,http://culanth.org/
Current Anthropology,0011-3204,1537-5382,University of Chicago Press,,United States,English,http://www.journals.uchicago.edu/loi/ca
Ethnos,0014-1844,1469-588X,Routledge,,United Kingdom,English,http://www.tandfonline.com/toc/retn20/current
Focaal: Journal of Global and Historical Anthropology,0920-1297,1558-5263,Berghahn Books,,Netherlands,English,http://www.berghahnjournals.com/view/journals/focaal/focaal-overview.xml
Journal of the Royal Anthropological Institute,1359-0987,1467-9655,Blackwell Publishing,,United Kingdom,English,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9655
Medical Anthropology,0145-9740,1545-5882,Routledge,,United States,English,http://www.tandfonline.com/loi/gmea20
Social Analysis: The International Journal of Anthropology,0155-977X,1558-5727,Berghahn Books,,United States,English,http://www.berghahnjournals.com/view/journals/social-analysis/social-analysis-overview.xml
Social Anthropology,0964-0282,1469-8676,,Berghahn Journals,United Kingdom,English,https://www.berghahnjournals.com/
Academy of Management Journal,0001-4273,1948-0989,,Academy of Management,United States,English,https://aom.org/research/journals/journal
Academy of Management Learning & Education,1537-260X,1944-9585,,Academy of Management,United States,English,https://aom.org/research/journals/learning-and-education
Academy of Management Review,0363-7425,1930-3807,Association of Management,,United States,English,http://aom.org/amr/
Accounting Review,0001-4826,1558-7967,,American Accounting Association,United States,,http://aaahq.org/pubs/acctrev.htm
"Accounting, Organizations and Society",0361-3682,1873-6289,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/03613682
Administrative Science Quarterly,0001-8392,1930-3815,Sage Publications,,United States,English,http://asq.sagepub.com/
Auditing: A journal of Practice and Theory,0278-0380,1558-7991,,American Accounting Association,United States,English,http://aaajournals.org/loi/ajpt
British Journal of Industrial Relations,0007-1080,1467-8543,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14678543
British Journal of Management,1045-3172,1467-8551,Blackwell Publishing,,United Kingdom,English,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8551
Business Ethics Quarterly,1052-150X,2153-3326,Cambridge University Press,,United States,English,http://journals.cambridge.org/action/displayJournal?jid=BEQ
Business History,0007-6791,1743-7938,Taylor & Francis,,United Kingdom,English,http://www.tandfonline.com/toc/fbsh20/current
Business History Review,0007-6805,2044-768X,Cambridge University Press,,United States,English,http://journals.cambridge.org/action/displayJournal?jid=BHR
Contemporary Accounting Research,0823-9150,1911-3846,,Canadian Academic Accounting Association,Canada,English,https://www.caaa.ca/journals-and-research/contemporary-accounting-research-car/
Corporate governance. An International Review,0964-8410,1467-8683,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14678683
Decision Sciences,0011-7315,1540-5915,Blackwell Publishing,,United States,English,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5915
Entrepreneurship: Theory and Practice,1042-2587,1540-6520,Sage Publications,,United States,English,https://journals.sagepub.com/home/etpb
European Accounting Review,0963-8180,1468-4497,Routledge,,United Kingdom,English,https://www.tandfonline.com/loi/rear20
European Business Law Review,0959-6941,1875-841X,,,Netherlands,,http://www.kluwerlaw.com/
European Journal of Operational Research,0377-2217,1872-6860,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/03772217
Finance and Stochastics,0949-2984,1432-1122,Springer,,Germany,,http://www.springerlink.com/content/0949-2984/
Financial Management,0046-3892,1755-053X,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/1755053x
Global Strategy Journal,2042-5791,2042-5805,John Wiley & Sons,,United States,English,http://gsj.strategicmanagement.net/
Human Relations,0018-7267,1741-282X,Sage Publications,,United Kingdom,English,http://www.tavinstitute.org/hrindex.htm
Human Resource Management,0090-4848,1099-050X,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/1099050x?tabActivePane=
Human Resource Management Journal,0954-5395,1748-8583,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/17488583?tabActivePane=
Industrial Marketing Management,0019-8501,1873-2062,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/00198501
International Business Review,0969-5931,1873-6149,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/09695931
International Journal of Entrepreneurship and Small Business (IJESB),1476-1297,1741-8054,InderScience Publishers,,Switzerland,,https://www.inderscience.com/jhome.php?jcode=ijesb
International Journal of Forecasting,0169-2070,1872-8200,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/01692070
International Journal of Management Reviews,1460-8545,1468-2370,John Wiley & Sons,British Academy of Management,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14682370
International Journal of Operations & Production Management,0144-3577,1758-6593,Emerald Group Publishing Limited,,United Kingdom,English,https://www.emeraldgrouppublishing.com/journal/ijopm?id=ijopm
International Journal of Project Management,0263-7863,1873-4634,Elsevier,,United Kingdom,English,http://www.sciencedirect.com/science/journal/02637863
International Journal of Research in Marketing,0167-8116,1873-8001,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/01678116
Journal of Accounting and Economics,0165-4101,1879-1980,Elsevier,,Netherlands,English,https://www.sciencedirect.com/journal/journal-of-accounting-and-economics
Journal of Accounting Research,0021-8456,1475-679X,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/1475679x
Journal of Advertising,0091-3367,1557-7805,Taylor & Francis,,United States,English,http://www.tandfonline.com/toc/ujoa20/current
Journal of Banking & Finance,0378-4266,1872-6372,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/03784266
Journal of business & economic statistics,0735-0015,1537-2707,,,,,http://www.tandf.co.uk/journals/default.asp
Journal of Business Ethics,0167-4544,1573-0697,Springer,,Netherlands,English,http://link.springer.com/journal/10551
Journal of Business Research,0148-2963,1873-7978,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/01482963
Journal of Business Venturing,0883-9026,1873-2003,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/08839026
Journal of Consumer Research,0093-5301,1537-5277,Oxford University Press,,United States,English,http://jcr.oxfordjournals.org/
Journal of Corporate Finance,0929-1199,1872-6313,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/09291199
Journal of Empirical Finance,0927-5398,1879-1727,Elsevier,,Netherlands,English,http://www.sciencedirect.com/science/journal/09275398
Journal of Finance,0022-1082,1540-6261,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/15406261?tabActivePane=
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,Cambridge University Press,,United States,English,http://journals.cambridge.org/action/displayJournal?jid=JFQ
Journal of Financial Econometrics,1479-8409,1479-8417,Oxford University Press,,United Kingdom,English,https://academic.oup.com/jfec
Journal of Financial Intermediation,1042-9573,1096-0473,Academic Press,,United States,English,http://www.sciencedirect.com/science/journal/10429573
Journal of financial markets,1386-4181,1878-576X,,,Netherlands,,http://www.sciencedirect.com/science/journal/13864181
Journal of International Business Studies,0047-2506,1478-6990,Palgrave Macmillan,,United Kingdom,English,http://www.jibs.net/
Journal of International Marketing,1069-031X,1547-7215,Sage Publications,,United States,English,https://journals.sagepub.com/home/jig
Journal of Management,0149-2063,1557-1211,Sage Publications,,United States,English,http://journals.sagepub.com/home/jom
Journal of Management Studies,0022-2380,1467-6486,John Wiley & Sons,Society for the Advancement of Management Studies,United Kingdom,English,https://onlinelibrary.wiley.com/journal/14676486
Journal of Marketing,0022-2429,1547-7185,American Marketing Association,,United States,English,http://www.marketingpower.com/AboutAMA/Pages/AMA%20Publications/AMA%20Journals/Journal%20of%20Marketing/JournalofMarketing.aspx
Journal of Marketing Research,0022-2437,1547-7193,American Marketing Association,,United States,,http://www.marketingpower.com/AboutAMA/Pages/AMA%20Publications/AMA%20Journals/Journal%20of%20Marketing%20Research/JournalofMarketingResearch.aspx
Journal of public administration research and theory,1053-1858,1477-9803,Oxford University Press,,United Kingdom,English,https://academic.oup.com/jpart
Journal of Retailing,0022-4359,1873-3271,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/00224359
Journal of Service Research,1094-6705,1552-7379,Sage Publications,,United States,English,http://jsr.sagepub.com/
Journal of Small Business Management,0047-2778,1540-627X,Taylor & Francis,,United States,English,https://www.tandfonline.com/journals/ujbm20
